No.,File Name,Acoustic Event Density,bird,weather
112,009219_20150513_150000.wav,0.0398,4,0
113,009219_20150513_160000.wav,0.0297,3,0
114,009219_20150513_170000.wav,0.0345,3,0
115,009219_20150513_180000.wav,0.0143,4,0
116,009219_20150513_190000.wav,0.076,3.5,0
117,009219_20150513_200000.wav,0.0687,3,0
118,009219_20150513_210000.wav,0.0005,1,1
119,009219_20150513_220000.wav,0.0057,0,0
120,009219_20150513_230000.wav,0.0034,0,0
121,009219_20150514_000000.wav,0.0001,0,1
122,009219_20150514_010000.wav,0,0,1
123,009219_20150514_020000.wav,0.0001,0,1
124,009219_20150514_030000.wav,0.0012,0,1
125,009219_20150514_040000.wav,0,0,1
126,009219_20150514_050000.wav,0,0,1
127,009219_20150514_060000.wav,0.0091,5,1
128,009219_20150514_070000.wav,0.067,5,0
129,009219_20150514_080000.wav,0.071,5,0
130,009219_20150514_090000.wav,0.0254,3,1
131,009219_20150514_100000.wav,0.0034,4,0
132,009219_20150514_110000.wav,0.0219,3,1
133,009219_20150514_120000.wav,0.0201,4,1
134,009219_20150514_130000.wav,0.0023,3.5,0
135,009219_20150514_140000.wav,0.0014,4,0
136,009219_20150514_150000.wav,0.0001,3,0
137,009219_20150514_160000.wav,0.0125,2,1
138,009219_20150514_170000.wav,0,2,1
139,009219_20150514_180000.wav,0.0136,2,1
140,009219_20150514_190000.wav,0.01,3,1
141,009219_20150514_200000.wav,0.0009,2,1
142,009219_20150514_210000.wav,0.0133,1,0
143,009219_20150514_220000.wav,0.0002,0,1
144,009219_20150514_230000.wav,0.0009,0,1
145,009219_20150515_000000.wav,0,0,1
146,009219_20150515_010000.wav,0.0003,0,1
147,009219_20150515_020000.wav,0.0001,0,1
148,009219_20150515_030000.wav,0.0001,0,1
149,009219_20150515_040000.wav,0.0004,0,1
150,009219_20150515_050000.wav,0,3,1
151,009219_20150515_060000.wav,0.0025,5,1
152,009219_20150515_070000.wav,0.0371,5,0
153,009219_20150515_080000.wav,0.0022,5,0
154,009219_20150515_090000.wav,0.013,4,0
155,009219_20150515_100000.wav,0.0243,4,0
156,009219_20150515_110000.wav,0.0897,3,1
157,009219_20150515_120000.wav,0.1122,4,0
158,009219_20150515_130000.wav,0.0529,3.5,1
159,009219_20150515_140000.wav,0.0462,3.5,0
160,009219_20150515_150000.wav,0.0143,4,0
161,009219_20150515_160000.wav,0.0161,4,1
162,009219_20150515_170000.wav,0.0156,3,1
163,009219_20150515_180000.wav,0.0433,2,0
164,009219_20150515_190000.wav,0.0291,3,0
165,009219_20150515_200000.wav,0.0345,2,0
166,009219_20150515_210000.wav,0,2,0
167,009219_20150515_220000.wav,0.504,0,1
168,009219_20150515_230000.wav,0.0119,0,1
