,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
1,0.032277111,37.20588858,0.980647735,0.967744278,1656.647928,0.948821,9.94E-12,-0.927480292,0.235058,2,0,0,0,0,0,0,176.6410881,0,9219_New/009219_20150509_000000.wav
2,0.191497737,36.71399067,0.980615478,0.96955851,1659.085932,0.942965,9.89E-12,-0.836451762,0.385048,1,0,0,0,0,0,0,98.60170319,0,9219_New/009219_20150509_010000.wav
3,0.028340878,33.88560988,0.981046087,0.969468196,1655.598598,0.953918,9.82E-12,-0.785368288,0.023984,0,0,0,0,0,0,0,80.71189605,0,9219_New/009219_20150509_020000.wav
4,0.050383783,36.3402459,0.98107324,0.971312564,1659.695739,0.944163,1.00E-11,-0.647716545,0.36372,2,0,0,0,0,0,0,69.02196544,0,9219_New/009219_20150509_030000.wav
5,0.00236174,36.8518307,0.978438608,0.972275989,1650.719572,0.954545,9.39E-12,-0.722275656,0,0,0,0,0,0,0,0,75.07986589,0,9219_New/009219_20150509_040000.wav
6,0.092698288,37.06142456,0.980873894,0.972311275,1664.159134,0.944977,9.92E-12,-0.770135844,0.258127,0,0,0,0,0,0,0,69.74769732,0,9219_New/009219_20150509_050000.wav
7,0.051564653,39.02768517,0.980662876,0.971481256,1654.89087,0.9477,9.94E-12,-0.746627647,0.199608,1,0,0,0,0,0,0,80.14235035,0,9219_New/009219_20150509_060000.wav
8,0.597323362,48.69629478,0.980086423,0.965816565,1693.521699,0.821439,9.70E-12,-0.296959091,1.626238,6,0,0,0,0,0,0,99.92490964,0,9219_New/009219_20150509_070000.wav
9,0.279275733,50.70418942,0.979605066,0.96778589,1709.206482,0.82483,9.68E-12,-0.477264149,1.499377,9,0,0,0,0,0,0,107.1995994,0,9219_New/009219_20150509_080000.wav
10,0.40523519,45.72931823,0.980583123,0.968545334,1665.197051,0.823724,9.96E-12,-0.403522372,1.595665,7,0,0,0,0,0,0,80.19066509,0,9219_New/009219_20150509_090000.wav
11,0.143475694,50.96297197,0.977240344,0.966557766,1691.168325,0.889761,9.15E-12,-0.190293967,1.156002,5,0,0,0.037676553,0.000984058,0,0,152.7080527,0,9219_New/009219_20150509_100000.wav
12,0.035032474,49.97533953,0.975889154,0.960257347,1806.11717,0.892328,9.33E-12,0.211277973,1.016849,12,0,0.003703704,0.158384577,0.005510726,0,0,114.2349201,0,9219_New/009219_20150509_110000.wav
13,0.152922653,50.73544389,0.977275861,0.964245979,1709.896845,0.868198,9.28E-12,-0.063301567,1.295503,4,0,0,0.049192992,0.00118087,0,0,108.5567081,0,9219_New/009219_20150509_120000.wav
14,0.006691596,48.97411508,0.971572736,0.966326345,1675.468798,0.949818,8.21E-12,-0.781523345,0.200835,7,0,0.003703704,0.308013182,0.050777406,0.05,0.056391318,268.8930046,0,9219_New/009219_20150509_130000.wav
15,0.534737256,50.03527807,0.980431669,0.967531846,1697.171721,0.751211,9.79E-12,-0.34056257,1.872901,8,0,0,0,0,0,0,96.78611313,0,9219_New/009219_20150509_140000.wav
16,0.010037394,46.4519335,0.974471468,0.968730608,1671.097646,0.948573,9.03E-12,-0.635645495,0.181954,9,0,0.003703704,0.260719803,0.002558551,0.007142857,0.046439909,104.1057453,0,9219_New/009219_20150509_150000.wav
17,0.011021452,51.60806109,0.972157579,0.964758097,1690.140763,0.934202,8.47E-12,-0.827802934,0.44872,6,0,0.003703704,0.317290365,0.037787837,0.057142857,0.049342404,250.2182462,0,9219_New/009219_20150509_160000.wav
18,0.064554222,45.96628368,0.980643221,0.968723259,1684.053746,0.890993,9.84E-12,-0.774425273,0.942499,9,0,0,0,0,0,0,109.5850394,0,9219_New/009219_20150509_170000.wav
19,0.245424129,48.71913841,0.980363369,0.966786672,1671.510968,0.850637,9.82E-12,-0.453976788,1.383343,11,0,0,0,0,0,0,113.3220811,0,9219_New/009219_20150509_180000.wav
20,0.011808699,40.72894434,0.977446821,0.968130455,1650.888703,0.951622,9.32E-12,-0.900587192,0.142772,2,0,0.003703704,0.202592156,0.003148986,0.014285714,0.023219955,153.8892728,0,9219_New/009219_20150509_190000.wav
21,0.175752805,49.2182896,0.980555103,0.967372444,1764.265071,0.867457,9.83E-12,-0.782053448,1.285871,3,0,0,0,0,0,0,181.9008192,0,9219_New/009219_20150509_200000.wav
22,0.112182641,47.00317398,0.980718201,0.969544411,1840.712466,0.883185,9.96E-12,-0.805942924,1.036412,3,0,0,0,0,0,0,155.4841234,0,9219_New/009219_20150509_210000.wav
23,0.078331037,39.7427896,0.980981407,0.969710749,1680.899705,0.941252,9.99E-12,-0.93790103,0.2737,0,0,0,0.013019207,0.000196812,0,0,179.3492449,0,9219_New/009219_20150509_220000.wav
24,0.155874828,39.34772759,0.980897083,0.968480674,1673.710893,0.947294,9.89E-12,-0.915134195,0.280023,1,0,0,0,0,0,0,142.8062652,0,9219_New/009219_20150509_230000.wav
25,0.117102932,37.33628814,0.980755514,0.970035595,1664.18406,0.953213,1.00E-11,-0.921803611,0.057564,0,0,0,0,0,0,0,119.3796259,0,9219_New/009219_20150510_000000.wav
26,0.10844322,37.92745618,0.980485903,0.970539229,1668.355009,0.94792,9.76E-12,-0.86263285,0.16846,0,0,0,0,0,0,0,97.00471431,0,9219_New/009219_20150510_010000.wav
27,0.012595946,36.84206989,0.980458926,0.97263094,1665.057492,0.953555,9.84E-12,-0.776357515,0.036813,0,0,0,0,0,0,0,75.33068503,0,9219_New/009219_20150510_020000.wav
28,0.069474513,36.59422868,0.980660644,0.972722221,1659.302391,0.939222,9.82E-12,-0.70540305,0.328015,0,0,0,0,0,0,0,60.15787478,0,9219_New/009219_20150510_030000.wav
29,0.193465853,36.02410566,0.981073254,0.973019513,1665.210994,0.931641,9.90E-12,-0.670700641,0.542695,0,0,0,0,0,0,0,54.94181069,0,9219_New/009219_20150510_040000.wav
30,0.062586105,36.66611429,0.981178008,0.972936486,1666.482501,0.924713,9.87E-12,-0.716148677,0.581695,1,0,0,0,0,0,0,59.42348353,0,9219_New/009219_20150510_050000.wav
31,0.386931706,44.26055662,0.979960841,0.967713518,1671.865747,0.876978,9.75E-12,0.075283591,1.265169,7,0,0,0,0,0,0,81.17968782,0,9219_New/009219_20150510_060000.wav
32,0.417634324,52.47650683,0.979390352,0.96397885,1685.179176,0.802078,9.63E-12,-0.257014143,1.692272,6,0,0,0,0,0,0,125.414374,0,9219_New/009219_20150510_070000.wav
33,0.471363905,51.99559147,0.980146122,0.964739404,1678.557645,0.779128,9.75E-12,-0.184026203,1.81077,7,0,0,0,0,0,0,117.6452374,0,9219_New/009219_20150510_080000.wav
34,0.488289707,50.15266773,0.98015097,0.96358702,1679.301442,0.806887,9.84E-12,-0.284444929,1.685888,10,0,0,0,0,0,0,118.1216698,0,9219_New/009219_20150510_090000.wav
35,0.736862822,58.21428206,0.975287849,0.959013493,1698.446756,0.718132,8.90E-12,0.439133386,2.014817,6,0,0,0,0,0,0,160.0040819,0,9219_New/009219_20150510_100000.wav
36,0.644361346,59.78698289,0.978426272,0.959925402,1750.097257,0.803059,9.49E-12,0.135007421,1.687035,6,0,0.003703704,0.116258866,0.004526668,0,0,227.5293449,0,9219_New/009219_20150510_110000.wav
37,0.726431805,57.82769293,0.97633802,0.955273139,1698.872129,0.795945,9.13E-12,0.331471391,1.708819,8,0,0.003703704,0.175485003,0.016925802,0,0,234.7318575,0,9219_New/009219_20150510_120000.wav
38,0.130486125,56.59480727,0.972456628,0.957964437,1699.291929,0.87447,8.31E-12,0.043027591,1.258289,4,0,0.003703704,0.360326819,0.128124385,0.292857143,0.050404292,399.3457673,0,9219_New/009219_20150510_130000.wav
39,0.156465263,57.86648291,0.973416089,0.957373907,1697.258947,0.845314,8.49E-12,0.296382124,1.47704,5,0,0.003703704,0.346527888,0.091911041,0.142857143,0.049922902,349.2956226,0,9219_New/009219_20150510_140000.wav
40,0.175555993,54.38001519,0.977887779,0.960989853,1672.488382,0.877783,9.41E-12,-0.08440526,1.245722,6,0,0,0.062296903,0.000984058,0,0,133.6510444,0,9219_New/009219_20150510_150000.wav
41,0.000196812,55.73201926,0.957601421,0.964823573,1665.034406,0.953667,6.14E-12,-0.74926588,0.043099,5,0,0.003703704,0.587371884,0.164928164,0.607142857,0.063376817,486.6903296,0,9219_New/009219_20150510_160000.wav
42,0.029915371,51.62386225,0.97518543,0.964598375,1680.912254,0.940196,8.89E-12,-0.592195768,0.421395,6,0,0.003703704,0.211722293,0.024011021,0.007142857,0.046439909,222.9760127,0,9219_New/009219_20150510_170000.wav
43,0.789411533,58.25546672,0.980206252,0.963588587,1694.415022,0.776501,9.81E-12,-0.281965146,1.830342,6,0,0,0,0,0,0,154.4999805,0,9219_New/009219_20150510_180000.wav
44,0.004526668,55.11650811,0.968198807,0.965826752,1664.391447,0.94991,7.78E-12,-0.56943536,0.148209,3,0,0.003703704,0.349917208,0.052351899,0.1,0.05473275,274.2222508,0,9219_New/009219_20150510_190000.wav
45,0.263137178,47.38033263,0.979562791,0.965405131,1669.210146,0.861684,9.71E-12,-0.348489542,1.316381,8,0,0,0,0,0,0,114.3886736,0,9219_New/009219_20150510_200000.wav
46,0.114741193,40.20003729,0.980872848,0.969851011,1661.429316,0.936771,9.87E-12,-0.838694242,0.479688,2,0,0,0,0,0,0,96.98812956,0,9219_New/009219_20150510_210000.wav
47,0.06553828,37.81168351,0.979540323,0.969161639,1651.617901,0.95454,9.55E-12,-0.906790663,0.000678,0,0,0,0,0,0,0,128.5444029,0,9219_New/009219_20150510_220000.wav
48,0.04526668,36.93185232,0.979674122,0.970963125,1658.340255,0.954545,9.62E-12,-0.882799885,0,0,0,0,0,0,0,0,101.2441456,0,9219_New/009219_20150510_230000.wav
49,0.000393623,47.23381954,0.979217577,0.965862214,1659.123999,0.954545,9.63E-12,-0.735198963,0,1,0,0.003703704,0.136765366,0.001771305,0,0,132.5302045,0,9219_New/009219_20150511_000000.wav
50,0.000393623,43.35747264,0.967590838,0.970218364,1653.330937,0.954545,8.09E-12,-0.68464312,0,0,0,0.003703704,0.330817602,0.013186381,0.007142857,0.069659864,139.1798067,0,9219_New/009219_20150511_010000.wav
51,0.128518008,35.88909957,0.98096192,0.971865272,1654.650572,0.947003,9.82E-12,-0.796388929,0.241058,0,0,0,0,0,0,0,73.37492845,0,9219_New/009219_20150511_020000.wav
52,0.105491045,35.65569987,0.980905977,0.971635723,1654.033583,0.953934,9.88E-12,-0.817768327,0.032405,0,0,0,0,0,0,0,75.92031576,0,9219_New/009219_20150511_030000.wav
53,0.155087581,35.73214253,0.98077012,0.9711297,1654.285205,0.953573,9.85E-12,-0.807867647,0.04362,0,0,0,0,0,0,0,74.81853949,0,9219_New/009219_20150511_040000.wav
54,0.100373942,36.15495952,0.980984655,0.970746277,1650.572913,0.954512,9.94E-12,-0.862017699,0.003237,0,0,0,0,0,0,0,85.73088737,0,9219_New/009219_20150511_050000.wav
55,0.454438103,46.87340567,0.980594391,0.966393378,1688.097921,0.85853,9.76E-12,-0.586595043,1.39178,8,0,0,0,0,0,0,118.0436294,0,9219_New/009219_20150511_060000.wav
56,0.046250738,50.63759068,0.979202117,0.963576986,1683.979943,0.94188,9.57E-12,-0.903868089,0.288118,6,0,0.003703704,0.16191316,0.035229286,0,0,291.0932487,0,9219_New/009219_20150511_070000.wav
57,0.170045267,49.69255836,0.980753246,0.965107848,1664.231474,0.936311,9.92E-12,-0.918616692,0.435986,6,0,0.003703704,0.119506835,0.019484353,0,0,295.1583527,0,9219_New/009219_20150511_080000.wav
58,0.203306436,51.70289572,0.98071358,0.961798905,1668.552858,0.923615,9.91E-12,-0.910599794,0.624673,3,0,0.003703704,0.157441244,0.083251328,0,0,369.710292,0,9219_New/009219_20150511_090000.wav
59,0.071836253,48.42915056,0.98054061,0.963584226,1661.588409,0.939719,9.82E-12,-0.936815409,0.3496,6,0,0.003703704,0.126260615,0.020074788,0,0,300.8586697,0,9219_New/009219_20150511_100000.wav
60,0.007675654,50.90808057,0.979598652,0.963614894,1676.44695,0.950489,9.64E-12,-0.896811637,0.120033,10,0,0.003703704,0.240146564,0.090926983,0.064285714,0.03095994,367.464042,0,9219_New/009219_20150511_110000.wav
61,0.024404645,51.41581296,0.980103562,0.963379631,1669.329148,0.941188,9.78E-12,-0.878519585,0.348092,8,0,0.003703704,0.201860144,0.010627829,0.007142857,0.023219955,269.1503735,0,9219_New/009219_20150511_120000.wav
