,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
124,0.002558551,36.1585602,0.971981776,0.966463192,1662.064156,0.954545,8.30E-12,-0.970289593,0,1,0.091032254,0.003703704,0.535544978,0.355835465,1,0.053890162,671.9662662,1118.332425,15116_PreEvent/015116_20150514_030000.wav
125,0.000984058,35.8731038,0.969715682,0.965922848,1662.966454,0.954545,7.96E-12,-0.974638631,0,1,0.130604134,0.003703704,0.66162706,0.422751427,1,0.064719448,807.0516647,338.6842288,15116_PreEvent/015116_20150514_040000.wav
126,0.001377682,35.04089007,0.969739892,0.963776327,1661.783758,0.954545,8.23E-12,-0.976483724,0,1,0.083608435,0.003703704,0.619973709,0.297185593,1,0.066011014,691.4274803,810.5901994,15116_PreEvent/015116_20150514_050000.wav
127,0.090730171,48.96329499,0.978933976,0.96413887,1842.356888,0.92553,9.58E-12,-0.842851525,0.65772,8,0,0.003703704,0.29688429,0.103129305,0.142857143,0.042956916,405.9048574,-41.79010251,15116_PreEvent/015116_20150514_060000.wav
128,0.012595946,82.01491137,0.944925536,0.981080548,1807.128765,0.885857,7.53E-12,0.763758,0.944201,31,0.134139287,0.003703704,1,0.325526471,0.178571429,0.125387755,1605.947898,-886.6190953,15116_PreEvent/015116_20150514_070000.wav
129,0.001574493,53.75857633,0.969699973,0.972008471,1821.347166,0.868674,8.66E-12,0.449528382,0.814003,27,0.138302761,0.003703704,0.990907203,0.481991734,1,0.044788281,1027.227005,37.80497828,15116_PreEvent/015116_20150514_080000.wav
130,0.00354261,43.52510803,0.970552552,0.965655017,1706.413226,0.954491,8.07E-12,-0.97829121,0.005043,1,0.254859067,0.003703704,0.751575765,0.687856721,1,0.077450437,1278.094755,692.9552423,15116_PreEvent/015116_20150514_090000.wav
131,0.001377682,40.57228551,0.964966308,0.96610105,1681.755376,0.954545,7.37E-12,-0.983497584,0,1,0.273598006,0.003703704,0.802155396,0.670537296,1,0.091845266,1500.92483,1566.665203,15116_PreEvent/015116_20150514_100000.wav
132,0.000590435,43.88761895,0.963640694,0.966920163,1694.467009,0.954545,6.99E-12,-0.983160279,0,4,0.330605856,0.003703704,0.903369897,0.724463688,1,0.106340662,1875.938609,1248.252169,15116_PreEvent/015116_20150514_110000.wav
133,0.000590435,42.91386333,0.963901173,0.965605228,1688.796363,0.954545,7.24E-12,-0.975576163,0,5,0.212119455,0.003703704,0.813130236,0.512891163,1,0.08605042,1213.718259,557.0749952,15116_PreEvent/015116_20150514_120000.wav
134,0.000787247,41.21162566,0.969970301,0.966271743,1706.725976,0.954545,7.95E-12,-0.984082185,0,1,0.334296701,0.003703704,0.869972521,0.801613856,1,0.10565511,1739.266078,1018.766011,15116_PreEvent/015116_20150514_130000.wav
135,0.00236174,40.57985661,0.971205642,0.965909202,1698.603453,0.954518,8.26E-12,-0.978997062,0.002759,2,0.195197168,0.003703704,0.705502026,0.581578429,1,0.071456646,1014.796109,461.7906327,15116_PreEvent/015116_20150514_140000.wav
136,0.006101161,45.48561119,0.973537035,0.964443738,1783.047423,0.953775,8.74E-12,-0.903859094,0.038789,5,0,0.003703704,0.504020963,0.146034245,0.414285714,0.055647822,469.4929209,151.9351217,15116_PreEvent/015116_20150514_150000.wav
137,0.011415076,46.37368481,0.969348001,0.962773628,1693.021672,0.94488,7.90E-12,-0.846827477,0.28282,6,0.132236838,0.003703704,0.643522633,0.404447943,1,0.075209999,815.7607205,450.4278551,15116_PreEvent/015116_20150514_160000.wav
138,0.000196812,39.70414065,0.973044438,0.966852907,1687.637377,0.954545,8.75E-12,-0.964278578,0,2,0.015509802,0.003703704,0.610550035,0.166109034,0.421428571,0.064937161,513.6952845,151.4759237,15116_PreEvent/015116_20150514_170000.wav
