"","AcouOccupancyR","Bioac","Hf","Ht","H","ACI","AEI","M","NDSI","ADI","NPIC","ASA","BN","SNR","AA","CAE","ADAE","RMS","NA","wav"
"136",0.00137768155874828,38.9761935698788,0.963676321252151,0.965142043476421,0.930084533943141,1735.72221773334,0.954545,7.10450204608301e-12,-0.990230320464306,0,0,0.376730959681319,0.00370370370370376,0.95908343492989,0.767368628222791,1,0.142983201014358,2211.96566939071,413.825330228114,"Prairie_CivilWar/015116_20150523_150000.wav"
"137",0.00216492816374729,43.1100043184873,0.955930078285654,0.96391214509522,0.921432612321366,1782.69411047236,0.954545,6.04250611661115e-12,-0.990051384479095,0,2,0.460558311432407,0.00370370370370376,0.995100941108452,0.80771501672899,1,0.184934884700693,3335.99498653673,-660.241425349308,"Prairie_CivilWar/015116_20150523_160000.wav"
"138",0.000393623302499508,41.2125429200781,0.960490280572853,0.966634985100833,0.928443508051034,1712.1269249365,0.954545,6.50087753228791e-12,-0.970164546715826,0,4,0.178229380539065,0.00370370370370376,0.768398222722342,0.44814012989569,1,0.0882699746565293,1086.57594523434,470.048605284727,"Prairie_CivilWar/015116_20150523_170000.wav"
"139",0.00177130486124779,41.8775736586644,0.966828346628214,0.965688545521339,0.933655059824201,1754.62966619332,0.954545,7.54538881078937e-12,-0.967031541526127,0,1,0.217636871799142,0.00370370370370376,0.749939880239406,0.578429443023027,1,0.0773168463095694,1178.75553642132,780.757856260889,"Prairie_CivilWar/015116_20150523_180000.wav"
"140",0.0350324739224562,41.5659935055306,0.978388616539525,0.968904136214954,0.947964777390772,1706.5556243865,0.927313,9.39278580649744e-12,-0.482938379471562,0.599698,7,0,0,0.0310147598884207,0.000196811651249754,0,0,114.294199590836,9.65220999868177,"Prairie_CivilWar/015116_20150523_190000.wav"
"141",0.00236173981499705,48.0547401431547,0.963417368237304,0.967071885906008,0.931693851215853,1746.43188373557,0.950814,7.12321745754983e-12,-0.457067429220014,0.156495,8,0,0.00370370370370376,0.608399973928828,0.0932887226923834,0.192857142857143,0.05503989250021,366.741657668954,271.368363412498,"Prairie_CivilWar/015116_20150523_200000.wav"
"142",0.285573705963393,41.6699735808122,0.980595938166048,0.969222989990139,0.950416127161482,1730.69360502251,0.856782,9.76311636879874e-12,-0.497393813835378,1.385309,10,0,0,0,0,0,0,95.4571846838539,-11.4177882477212,"Prairie_CivilWar/015116_20150523_210000.wav"
"143",0.0734107459161582,35.3545758851425,0.980597359949239,0.969576209303041,0.950763871112153,1672.1113922535,0.953131,9.79652198350591e-12,-0.856367441372388,0.070765,2,0,0,0,0,0,0,132.790215085932,-18.9446456423881,"Prairie_CivilWar/015116_20150523_220000.wav"
"144",0.169061208423539,34.4175297607473,0.98083222213578,0.971483430341671,0.952862251750111,1659.05662787103,0.940966,9.94922855152295e-12,-0.789983634020677,0.388737,2,0,0,0,0,0,0,91.8272108916141,-12.3629568103116,"Prairie_CivilWar/015116_20150523_230000.wav"
"145",0.612281047037985,34.3307970345394,0.981115169281788,0.971331399552449,0.952987970500617,1668.89622240998,0.928326,9.95644760410972e-12,-0.849176626019332,0.627635,2,0,0,0,0,0,0,100.212003080073,-13.3492970178812,"Prairie_CivilWar/015116_20150524_000000.wav"
"146",0.205668175555993,35.0031186046021,0.979758676662589,0.973680098817299,0.953971525109936,1677.57739122365,0.932537,9.60228750974029e-12,-0.852222713580343,0.445597,4,0,0,0,0,0,0,104.355592380173,-13.5382091311722,"Prairie_CivilWar/015116_20150524_010000.wav"
"147",0.413501279275733,37.3083984754765,0.980457344474409,0.975536560843115,0.956471985881937,1698.10863036985,0.874137,9.71295916506305e-12,-0.714408707713817,0.897752,8,0,0,0,0,0,0,88.5924913338305,-12.1220030735068,"Prairie_CivilWar/015116_20150524_020000.wav"
"148",0.292068490454635,34.0446668481419,0.980844825135156,0.972313139937341,0.953688311718456,1660.11593921048,0.942566,9.92748968299672e-12,-0.827157493175945,0.281057,0,0,0,0,0,0,0,96.4622243950032,-13.6663111601376,"Prairie_CivilWar/015116_20150524_030000.wav"
"149",0.243456012595946,34.9208715508567,0.981220228185794,0.974286994061227,0.955990106631208,1665.73454529757,0.910148,9.94357539269848e-12,-0.714266436254872,0.671553,4,0,0,0,0,0,0,84.0658423747927,-12.0058611084098,"Prairie_CivilWar/015116_20150524_040000.wav"
"150",0.0895493013186381,35.4397757647478,0.980671514300521,0.973241398647606,0.954430116191704,1682.96660741105,0.934299,9.94602953160109e-12,-0.77982945029244,0.499065,2,0,0,0,0,0,0,98.0444581339653,-14.2799981240556,"Prairie_CivilWar/015116_20150524_050000.wav"
"151",0.122416847077347,69.7503495214025,0.870663972471059,0.961042559956076,0.836745132965112,2320.15505910718,0.809012,1.5114260486541e-12,0.831216963682633,1.649621,17,0.239860482725186,0.00370370370370376,1,0.139145837433576,0.592857142857143,0.175688331557523,2952.70357859345,52.7751234969496,"Prairie_CivilWar/015116_20150524_060000.wav"
"152",0.112576264514859,47.8600773049371,0.858993141700034,0.950876039271659,0.816795996341247,1853.28044998002,0.810969,1.33992505211368e-12,0.831086787859688,1.621715,16,0.32588557941455,0.00370370370370376,1,0.117693367447353,0.0571428571428571,1,4346.10195341037,-1222.15680610097,"Prairie_CivilWar/015116_20150524_070000.wav"
"153",0.257429639834678,42.906409669767,0.980663468341685,0.969441297940453,0.950695665591949,1707.80809504858,0.89691,9.8983882591423e-12,-0.844149814522749,0.93962,10,0,0,0,0,0,0,163.932287946345,-22.0281512142663,"Prairie_CivilWar/015116_20150524_080000.wav"
"154",0.0875811848061405,44.4372503127475,0.979815939453452,0.96647785594767,0.946970408386324,1691.87064276823,0.930505,9.72075820895496e-12,-0.837533987448073,0.545288,6,0,0.00370370370370376,0.166465047298583,0.00432985632749459,0,0,235.283496704376,-14.5790424201515,"Prairie_CivilWar/015116_20150524_090000.wav"
"155",0.0466443613461917,42.4677069749879,0.980665861284346,0.966954297370564,0.948259068853503,1684.10556599564,0.923269,9.86175896039735e-12,-0.87321366901862,0.634706,9,0,0,0.0770964192242265,0.000590434953749262,0,0,215.3050348796,8.31115545974544,"Prairie_CivilWar/015116_20150524_100000.wav"
