,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
1,0.041330447,38.03708064,0.979949191,0.968827528,1657.714566,0.954408,9.67E-12,-0.962942126,0.010439,0,0,0.003703704,0.150762656,0.048612478,0,0,322.1668736,-78.2903091,15106_PreEvent/015106_20150509_000000.wav
2,0.191497737,37.65106244,0.980614409,0.968921128,1666.380036,0.953654,9.88E-12,-0.951746109,0.038345,0,0,0,0.049875891,0.00118087,0,0,229.8387416,-56.66526334,15106_PreEvent/015106_20150509_010000.wav
3,0.126943515,36.27243631,0.980938565,0.971119366,1653.924333,0.954252,9.90E-12,-0.917005997,0.013262,1,0,0,0,0,0,0,163.3973278,-40.49333082,15106_PreEvent/015106_20150509_020000.wav
4,0.001968117,35.7034061,0.975803875,0.970557452,1651.51583,0.954545,9.03E-12,-0.884733771,0,0,0,0.003703704,0.230435101,0.01790986,0.014285714,0.034829932,201.5054514,15.48135217,15106_PreEvent/015106_20150509_030000.wav
5,0.003148986,36.17470092,0.970933761,0.96832284,1661.949158,0.954545,7.98E-12,-0.9453504,0,1,0.07893652,0.003703704,0.469545968,0.340090533,1,0.065978652,642.1633531,-199.665598,15106_PreEvent/015106_20150509_040000.wav
6,0.003148986,36.70122909,0.957051026,0.967732224,1677.00822,0.954545,6.27E-12,-0.974895755,0,0,0.133080581,0.003703704,0.687608436,0.353670537,1,0.104489796,961.5847321,-322.9981703,15106_PreEvent/015106_20150509_050000.wav
7,0.021255658,42.30322443,0.979138983,0.97093034,1731.984601,0.949052,9.54E-12,-0.823441065,0.185275,7,0,0.003703704,0.117766338,0.004329856,0,0,196.3844367,-68.35385074,15106_PreEvent/015106_20150509_060000.wav
8,0.032080299,71.38991865,0.951565081,0.956073597,1819.519775,0.855746,6.81E-12,0.791883156,1.23403,16,0.070145621,0.003703704,0.747328483,0.209604409,0.464285714,0.110026862,937.9703289,379.4143949,15106_PreEvent/015106_20150509_070000.wav
9,0.004920291,62.0016836,0.960158862,0.987524279,1829.560514,0.928152,7.10E-12,-0.660901235,0.443648,28,0.068524046,0.003703704,1,0.265302106,0.921428571,0.077219849,866.3804863,-213.9659929,15106_PreEvent/015106_20150509_080000.wav
10,0.000393623,42.51057913,0.969729236,0.967179292,1690.87479,0.954527,7.75E-12,-0.954566456,0.001971,3,0.168309531,0.003703704,0.644441983,0.506199567,1,0.078428238,916.9391444,-212.6787305,15106_PreEvent/015106_20150509_090000.wav
11,0.03818146,60.25311672,0.936656092,0.958015179,1838.740661,0.793541,5.73E-12,0.822112864,1.678886,20,0.211414105,0.003703704,1,0.418027947,1,0.084570717,1962.532826,-755.8576048,15106_PreEvent/015106_20150509_100000.wav
12,0.000787247,40.88717031,0.963695714,0.964252971,1751.884459,0.954545,7.30E-12,-0.990726806,0,1,0.417491116,0.003703704,0.982233203,0.857311553,1,0.131017373,2652.723172,-638.7854827,15106_PreEvent/015106_20150509_110000.wav
13,0.003345798,49.98995829,0.967584746,0.961853729,1742.386885,0.95022,7.38E-12,-0.807786624,0.147054,9,0.283015692,0.003703704,0.745354973,0.664829758,1,0.110723725,1447.052102,-309.880471,15106_PreEvent/015106_20150509_120000.wav
14,0.000393623,45.71021508,0.970411772,0.960629298,1827.875167,0.954545,8.01E-12,-0.986328931,0,5,0.501141833,0.003703704,0.99999564,0.95119071,1,0.213020187,3236.798005,-803.1767596,15106_PreEvent/015106_20150509_130000.wav
15,0.001574493,38.48784399,0.974397027,0.96261586,1759.481529,0.954545,8.68E-12,-0.991019728,0,0,0.470339854,0.003703704,0.834767886,0.941940563,1,0.196068496,2700.192031,-636.1399943,15106_PreEvent/015106_20150509_140000.wav
16,0.01790986,70.73578515,0.973000617,0.967457082,1810.794649,0.899598,8.43E-12,-0.14700265,0.960251,8,0.540406347,0.003703704,0.913887442,0.963786656,1,0.314993197,3600.72031,-2008.603659,15106_PreEvent/015106_20150509_150000.wav
17,0.052548711,61.2317787,0.94524943,0.953862955,1811.816568,0.859104,6.46E-12,0.714625891,1.389215,9,0.170991815,0.003703704,0.950762906,0.34323952,0.857142857,0.107972789,1544.331134,407.7901476,15106_PreEvent/015106_20150509_160000.wav
18,0.003936233,41.9437254,0.96851579,0.965707595,1689.902259,0.954482,7.62E-12,-0.937381651,0.005775,5,0.076736227,0.003703704,0.483656996,0.308010234,0.942857143,0.089009826,661.610932,-304.6253309,15106_PreEvent/015106_20150509_170000.wav
19,0.057272191,77.7426162,0.89684366,0.968640782,1851.573676,0.815863,3.95E-12,0.836069018,1.629038,30,0.05099906,0.003703704,0.929428618,0.065144657,0.107142857,0.433439153,1449.355782,585.4908643,15106_PreEvent/015106_20150509_180000.wav
20,0.009250148,42.93684917,0.970108678,0.965913918,1682.871592,0.953879,8.23E-12,-0.939770986,0.028102,5,0,0.003703704,0.455445513,0.094863216,0.307142857,0.05615989,386.0166457,-168.8130045,15106_PreEvent/015106_20150509_190000.wav
21,0.28242472,45.89399055,0.980970674,0.966436915,1717.453314,0.913504,9.98E-12,-0.938957427,0.753274,10,0,0.003703704,0.14803209,0.06317654,0,0,358.9539775,-85.35263412,15106_PreEvent/015106_20150509_200000.wav
22,0.323361543,51.39497303,0.979071796,0.961116263,1875.29619,0.87141,9.59E-12,-0.275282643,1.299666,7,0,0.003703704,0.268549546,0.056484944,0.035714286,0.027863946,352.3152647,-76.86485013,15106_PreEvent/015106_20150509_210000.wav
23,0.040740012,38.97310358,0.980204907,0.963858681,1650.845547,0.954423,9.77E-12,-0.973005429,0.010237,1,0.037894112,0.003703704,0.295352934,0.263137178,0.192857143,0.032679936,483.0384178,-110.1698272,15106_PreEvent/015106_20150509_220000.wav
24,0.062979728,38.57561199,0.980668638,0.96475313,1650.859909,0.954182,9.92E-12,-0.966160982,0.026072,1,0,0.003703704,0.174158205,0.032473922,0,0,328.5901361,33.16420027,15106_PreEvent/015106_20150509_230000.wav
25,0.217673686,37.92750572,0.980865431,0.967262027,1661.647887,0.950839,9.93E-12,-0.961522596,0.170285,1,0,0,0.068715207,0.005117103,0,0,267.9863487,-66.2948018,15106_PreEvent/015106_20150510_000000.wav
26,0.269041527,38.02640838,0.980850111,0.967432244,1657.35845,0.950359,9.93E-12,-0.943356416,0.183988,2,0,0,0.014222473,0.000590435,0,0,215.1192095,-50.53188732,15106_PreEvent/015106_20150510_010000.wav
27,0.113363511,36.05855458,0.980931731,0.970389783,1651.49587,0.954493,9.96E-12,-0.91308251,0.003462,1,0,0,0,0,0,0,159.4277052,-22.79469455,15106_PreEvent/015106_20150510_020000.wav
28,0.192875418,36.24371559,0.980726422,0.971674433,1656.914973,0.946899,9.84E-12,-0.885741328,0.171804,2,0,0,0,0,0,0,127.3797481,-31.55433315,15106_PreEvent/015106_20150510_030000.wav
29,0.199763826,36.64292307,0.980924981,0.971503524,1662.988487,0.942557,9.88E-12,-0.863200555,0.282257,3,0,0,0,0,0,0,119.016578,-28.45089633,15106_PreEvent/015106_20150510_040000.wav
30,0.236764416,37.77302645,0.980761078,0.972036247,1678.645279,0.919868,9.90E-12,-0.836565443,0.694993,3,0,0,0,0,0,0,117.6390289,-27.07548336,15106_PreEvent/015106_20150510_050000.wav
31,0.6114938,51.07330545,0.976159072,0.964236034,1890.531339,0.803795,9.11E-12,0.338522623,1.679974,9,0,0,0.080270722,0.003936233,0,0,149.2908727,-40.52330403,15106_PreEvent/015106_20150510_060000.wav
32,0.021846093,49.58354295,0.973710959,0.964037273,1740.918304,0.934262,8.54E-12,-0.658520593,0.456014,10,0,0.003703704,0.4503132,0.152725841,0.385714286,0.048589905,424.8791902,626.7788768,15106_PreEvent/015106_20150510_070000.wav
33,0.053926392,57.49801798,0.905336002,0.952173401,1798.840565,0.836576,4.78E-12,0.804979874,1.532564,16,0.086116404,0.003703704,0.96543973,0.071049006,0.071428571,0.619972789,1730.062762,716.5438779,15106_PreEvent/015106_20150510_080000.wav
34,0.482385357,50.6924316,0.980649758,0.964488182,1743.536487,0.802308,9.88E-12,-0.767514051,1.655276,8,0,0,0.036132933,0.000787247,0,0,237.4997556,-54.42267328,15106_PreEvent/015106_20150510_090000.wav
35,0.046053926,50.58776574,0.976726672,0.962884687,1731.760003,0.91713,9.26E-12,-0.693945163,0.759777,9,0,0.003703704,0.344759762,0.043495375,0.085714286,0.096749811,327.2037322,-109.4606651,15106_PreEvent/015106_20150510_100000.wav
36,0.020468412,62.04561367,0.946418534,0.946759033,1880.095897,0.831749,6.97E-12,0.786333874,1.536685,16,0.163205317,0.003703704,1,0.3766975,1,0.073965551,1601.365709,627.636426,15106_PreEvent/015106_20150510_110000.wav
37,0.017122614,68.54369882,0.95228827,0.946836107,1771.455526,0.848279,7.14E-12,0.766042107,1.417856,16,0.127906586,0.003703704,1,0.304270813,0.907142857,0.082092596,1265.464688,295.9819781,15106_PreEvent/015106_20150510_120000.wav
38,0.003148986,47.26974092,0.973035083,0.9651021,1739.131973,0.954082,8.47E-12,-0.94864897,0.021985,10,0.164513428,0.003703704,0.627556991,0.511513482,1,0.064150044,877.2929578,1046.737477,15106_PreEvent/015106_20150510_130000.wav
39,0.000590435,47.0133137,0.96901459,0.96359198,1714.51199,0.954002,7.92E-12,-0.931073734,0.033402,8,0.105321179,0.003703704,0.632911788,0.331234009,1,0.070697627,745.9276526,568.8105072,15106_PreEvent/015106_20150510_140000.wav
40,0.018106672,65.3893642,0.968337326,0.949081994,1872.872048,0.914621,7.62E-12,-0.486536038,0.73619,8,0.635167637,0.003703704,1,0.974611297,1,0.431377272,5484.745655,-1566.796738,15106_PreEvent/015106_20150510_150000.wav
41,0.010234206,42.22798796,0.964875598,0.95977341,1835.9792,0.954545,7.11E-12,-0.991665198,0,1,0.631435463,0.003703704,1,0.966345208,1,0.366573508,5679.995628,-2231.981261,15106_PreEvent/015106_20150510_160000.wav
42,0.03936233,70.33327611,0.964666784,0.954438079,1835.596422,0.897653,7.11E-12,0.316818055,1.00904,10,0.474182856,0.003703704,0.981102348,0.881913009,1,0.199504447,3144.268099,-256.3925904,15106_PreEvent/015106_20150510_170000.wav
43,0.005313915,47.19419201,0.960617075,0.956224018,1774.649983,0.951506,6.51E-12,-0.903542,0.125804,3,0.402483707,0.003703704,0.916220085,0.759496162,1,0.153468496,2495.759282,-402.1546949,15106_PreEvent/015106_20150510_180000.wav
44,0.000590435,41.76981512,0.967496081,0.963120434,1773.056816,0.954545,7.65E-12,-0.990912825,0,1,0.496975323,0.003703704,0.991645745,0.913402873,1,0.218533937,3328.175935,-716.8296309,15106_PreEvent/015106_20150510_190000.wav
45,0.018106672,41.44620289,0.97771263,0.96731039,1677.35229,0.945129,9.26E-12,-0.872652555,0.264186,4,0,0.003703704,0.217127175,0.034835662,0.021428571,0.023219955,266.9801036,-77.5374199,15106_PreEvent/015106_20150510_200000.wav
46,0.01909073,43.84956807,0.978785707,0.968464528,1725.52929,0.941,9.54E-12,-0.826019817,0.407719,7,0,0.003703704,0.211515224,0.010431018,0.007142857,0.069659864,210.0075506,-58.08106475,15106_PreEvent/015106_20150510_210000.wav
47,0.155481204,36.14234322,0.980947758,0.969264473,1652.174224,0.954502,9.93E-12,-0.938756019,0.00333,1,0,0,0,0,0,0,192.3315002,-44.92419696,15106_PreEvent/015106_20150510_220000.wav
48,0.127730762,36.54307333,0.980580827,0.970235283,1655.6684,0.954334,9.84E-12,-0.910467924,0.016458,1,0,0,0,0,0,0,153.1786009,-37.65810713,15106_PreEvent/015106_20150510_230000.wav
49,0.490651447,43.22621641,0.984393626,0.950626521,1993.382265,0.954545,1.09E-11,-0.989239565,0,0,1,0.562303738,0.44412895,0.966148396,0.835714286,0.974245789,20150.12489,-6567.869303,15106_PreEvent/015106_20150511_000000.wav
50,0.002164928,37.84538466,0.971739678,0.962479678,1783.71933,0.954545,8.10E-12,-0.99118046,0,0,0.527563563,0.003703704,0.961766143,0.954339697,1,0.2625057,3492.719798,-1330.396851,15106_PreEvent/015106_20150511_010000.wav
51,0.002164928,36.01920741,0.965858718,0.967846998,1678.664331,0.954545,7.43E-12,-0.978269103,0,0,0.183094312,0.003703704,0.725824997,0.485337532,1,0.082377507,1046.28794,-249.5432205,15106_PreEvent/015106_20150511_020000.wav
52,0.133044676,35.19490174,0.980379847,0.971171498,1653.00163,0.954482,9.82E-12,-0.935589845,0.00575,0,0,0,0,0,0,0,168.9513112,-40.58610876,15106_PreEvent/015106_20150511_030000.wav
53,0.107459162,35.43054068,0.981101895,0.971183619,1650.680655,0.954158,9.95E-12,-0.914687802,0.020493,1,0,0,0,0,0,0,153.2661134,-36.36166465,15106_PreEvent/015106_20150511_040000.wav
54,0.091320606,36.12069401,0.980368116,0.970551024,1651.995724,0.953837,9.80E-12,-0.93273532,0.039587,2,0,0,0,0,0,0,181.3603796,-41.23575334,15106_PreEvent/015106_20150511_050000.wav
55,0.541428853,52.13985306,0.980360945,0.962414423,1836.28656,0.813734,9.82E-12,-0.516198118,1.681097,7,0,0,0.081190908,0.003739421,0,0,264.3433779,-48.92747127,15106_PreEvent/015106_20150511_060000.wav
56,0.061208424,48.66809425,0.980274291,0.962715359,1709.442754,0.935603,9.82E-12,-0.944382634,0.445992,9,0.064891999,0.003703704,0.304997061,0.330053139,0.235714286,0.026034495,534.6899606,-114.1982448,15106_PreEvent/015106_20150511_070000.wav
57,0.002755363,45.12812135,0.976455735,0.962465261,1710.133776,0.954534,9.19E-12,-0.972185565,0.001227,4,0.174419748,0.003703704,0.642428761,0.630781342,1,0.049593236,872.4929525,-115.0907585,15106_PreEvent/015106_20150511_080000.wav
58,0.00236174,50.14558104,0.968033608,0.959360771,1708.584551,0.954545,7.53E-12,-0.979461642,0,2,0.405323374,0.003703704,0.86660551,0.925408384,1,0.126385419,2318.18262,-184.6885801,15106_PreEvent/015106_20150511_090000.wav
59,0.021255658,69.25065396,0.970370829,0.953474845,1747.439077,0.898943,8.64E-12,0.30486186,0.937132,16,0.224570604,0.003703704,0.789290929,0.738043692,1,0.053736088,1239.951415,1038.147926,15106_PreEvent/015106_20150511_100000.wav
60,0.006888408,41.98041175,0.966788053,0.959193125,1796.881988,0.954545,7.35E-12,-0.989348692,0,1,0.629223651,0.003703704,0.762214611,0.779570951,1,0.424367891,5492.573027,992.6350913,15106_PreEvent/015106_20150511_110000.wav
61,0.00118087,41.1266855,0.969948215,0.962770756,1791.110832,0.954416,7.97E-12,-0.989007186,0.010728,1,0.507482442,0.003703704,0.969308774,0.949813029,1,0.215164346,3329.339839,-317.0456973,15106_PreEvent/015106_20150511_120000.wav
62,0.014957685,62.71598712,0.962368443,0.951024423,2002.346266,0.902941,6.83E-12,0.224948103,0.976629,8,0.398500706,0.003703704,0.939230763,0.802597914,1,0.126990124,2457.760271,637.4457418,15106_PreEvent/015106_20150511_130000.wav
63,0.054320016,53.13801245,0.971571317,0.952942975,2058.90935,0.902618,7.96E-12,-0.506851994,0.905097,10,0.776237264,0.003703704,0.754726642,0.938988388,0.557142857,1,8887.986165,-3174.592203,15106_PreEvent/015106_20150511_140000.wav
64,0.076166109,41.46350823,0.973225741,0.954831158,1936.426746,0.954545,8.29E-12,-0.990201116,0,0,0.83917913,0.003703704,0.772789737,0.963983468,0.328571429,1,11002.14764,-3465.36542,15106_PreEvent/015106_20150511_150000.wav
65,0.310962409,53.1151894,0.977906397,0.949644716,1949.542134,0.94981,9.23E-12,-0.964109531,0.171288,7,0.967818814,0.266666667,0.690442318,0.968706947,0.592857143,1,16604.76334,-3070.675604,15106_PreEvent/015106_20150511_160000.wav
66,0.089942925,39.42707248,0.968847771,0.954337124,1873.041451,0.954545,7.45E-12,-0.990343367,0,0,0.829049047,0.003703704,1,0.992127534,0.671428571,1,11051.13431,-3848.31042,15106_PreEvent/015106_20150511_170000.wav
67,0.121039166,62.22765896,0.97525609,0.965772488,1944.031355,0.949089,8.64E-12,-0.979859283,0.161204,13,0.884085425,0.003703704,1,0.998622318,0.25,1,12707.67098,-6486.882297,15106_PreEvent/015106_20150511_180000.wav
68,0.053335957,38.77651143,0.972082445,0.95748971,1942.735409,0.954545,8.10E-12,-0.990849181,0,0,0.81186352,0.003703704,0.769549726,0.954339697,0.342857143,1,10073.92655,-2228.070957,15106_PreEvent/015106_20150511_190000.wav
69,0.019484353,40.16829455,0.971316091,0.958892714,1901.269315,0.954545,8.11E-12,-0.991235582,0,0,0.729911898,0.003703704,1,0.995079709,0.65,1,7578.415086,-4627.28243,15106_PreEvent/015106_20150511_200000.wav
